,Model,Best Threshold,F1 Score,Accuracy,Recall,Precision
0,Logistic Regression,0.8421052631578947,0.9166666666666667,0.9191919191919192,0.8888888888888888,0.946236559139785
1,Naive-Bayes,0.05263157894736842,0.8704663212435233,0.8737373737373737,0.8484848484848485,0.8936170212765957
2,Random Forest,0.42105263157894735,0.9255319148936169,0.9292929292929293,0.8787878787878788,0.9775280898876404
